,source sentence,source paragraph,Subject,Verb,Object
138,The fear-avoidance or avoidance-endurance models hypothesize that patients avoid activities.,"Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",both models,hypothesize,that fear or avoidance plays a role in patients' activity avoidance
139,"Two studies with little SOE confidence reported data for physical functioning as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. (Subject: Two studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",two studies,were conducted,
140,"Two studies with little SOE confidence reported data for physical functioning as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. (Subject: Two studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",two studies,had,little confidence in the strength of evidence (soe)
141,"Two studies with little SOE confidence reported data for physical functioning as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. (Subject: Two studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",two studies,reported,data
142,"Two studies with little SOE confidence reported data for physical functioning as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. (Subject: Two studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",data,was related to,physical functioning
143,"Two studies with little SOE confidence reported data for physical functioning as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. (Subject: Two studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",physical functioning,was assessed,using a questionnaire or accelerometry
144,"Two studies with little SOE confidence reported data for physical functioning as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. (Subject: Two studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",dataphysical functioning,was assessed,using a questionnaire or accelerometry
145,"Two studies with little SOE confidence reported data for physical functioning as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. (Subject: Two studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",the data,was,"also related to work status, disability, and pain severity"
146,Deconditioning further contributes to disability.,"Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",deconditioning,is,a factor that contributes to disability
147,Deconditioning further contributes to disability.,"Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",deconditioning,can make,a person's disability worse
148,Deconditioning further contributes to disability.,"Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",someone,becomes,deconditioned
149,Deconditioning further contributes to disability.,"Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",disability,is worsened by,the process of deconditioning
150,"Three studies reported data for physical functioning in relation to work status, disability, and pain severity. (Subject: Three studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",three studies,were conducted,
151,"Three studies reported data for physical functioning in relation to work status, disability, and pain severity. (Subject: Three studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",three studies,reported,data
152,"Three studies reported data for physical functioning in relation to work status, disability, and pain severity. (Subject: Three studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",data,was related to,physical functioning
153,"Three studies reported data for physical functioning in relation to work status, disability, and pain severity. (Subject: Three studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",data,was,also related to work status
154,"Three studies reported data for physical functioning in relation to work status, disability, and pain severity. (Subject: Three studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",data,was,further related to disability
155,"Three studies reported data for physical functioning in relation to work status, disability, and pain severity. (Subject: Three studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",data,was related,to pain severity
156,"Researchers discuss potential mechanisms, such as the fear-avoidance or avoidance-endurance models.","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",researchers,are discussing,potential mechanisms
157,"Researchers discuss potential mechanisms, such as the fear-avoidance or avoidance-endurance models.","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",potential mechanisms,include,the fear-avoidance model
158,"Researchers discuss potential mechanisms, such as the fear-avoidance or avoidance-endurance models.","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",another potential mechanism,being discussed,the avoidance-endurance model
159,"Two studies with little to some SOE confidence reported data for activity as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. (Subject: Two studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",there,were,two studies that reported data
160,"Two studies with little to some SOE confidence reported data for activity as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. (Subject: Two studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",two studies,reported,data
161,"Two studies with little to some SOE confidence reported data for activity as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. (Subject: Two studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",data,was related to,"activity, as assessed by questionnaire or accelerometry"
162,"Two studies with little to some SOE confidence reported data for activity as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. (Subject: Two studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",data,looked at,"work status, disability, and pain severity"
163,"Two studies with little to some SOE confidence reported data for activity in relation to work status, disability, and pain severity. (Subject: Two studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",there,were,two studies that reported data
164,"Two studies with little to some SOE confidence reported data for activity in relation to work status, disability, and pain severity. (Subject: Two studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",two studies,reported,data
165,"Two studies with little to some SOE confidence reported data for activity in relation to work status, disability, and pain severity. (Subject: Two studies; Object: data)","Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",the data reported,was related to,"activity in relation to work status, disability, and pain severity"
166,Patients avoid activities due to fear of reinjury.,"Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",patients,have,a fear of reinjury
167,Patients avoid activities due to fear of reinjury.,"Three studies reported data for physical functioning (two RPF with little SOE confidence) and activity (two RPF with little to some SOE confidence) as assessed by questionnaire or accelerometry in relation to work status, disability, and pain severity. Potential mechanisms discussed include the fear-avoidance or avoidance-endurance models, hypothesizing that patients avoid activities due to fear of reinjury that, in turn, leads to deconditioning and further disability.",fear,causes,patients to avoid certain activities
